Collection,Historian
Nachlass Richard Krautheimer,Richard Krautheimer
"Ernst Kitzinger papers, 1931-1995",Ernst Kitzinger
John Pope-Hennessy papers,John Pope-Hennessy
Battisti Eugenio (complex of fonds),Eugenio Battisti
Nachlass Ulrich Middeldorf,Ulrich Middeldorf
Nachlass Wolfgang Lotz,Wolfgang Lotz
Nachlass Werner Cohn,Werner Cohn
Fototeca Zeri,Federico Zeri
Fondo Aby Warburg,Aby Warburg
Luigi Salerno research papers,Luigi Salerno
Nachlass Cornelius von Fabriczy,Kornél Fabriczy
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei",Fritz Heinemann
Nachlass Otto Lehmann-Brockhaus,Otto Lehmann-Brockhaus
Julius S. Held papers,Julius S. Held
Fototeca Julian Kliemann,Julian Kliemann
Fototeca Fahy,Everett Fahy
Ellis K. Waterhouse notebooks and research files,Ellis Waterhouse
Fototeca Stefano Tumidei,Stefano Tumidei
Ulrich Middledorf papers,Ulrich Middeldorf
Archivio Luisa Vertova,Luisa Vertova
Gustav Ludwig-Vermächtnis,Gustav Ludwig
Leo Steinberg research papers,Leo Steinberg
Venturi Adolfo (complex of fonds),Adolfo Venturi
Nachlass Ernst Steinmann,Ernst Steinmann
Nachlass Kurt Badt,Kurt Badt
