"Collection","Keeper"
"Nachlass Richard Krautheimer","Getty Research Institute"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","Getty Research Institute"
"Venturi Adolfo (complex of fonds)","Getty Research Institute"
"Julius S. Held papers","Getty Research Institute"
"Gustav Ludwig-Vermächtnis","Getty Research Institute"
"Luigi Salerno research papers","Getty Research Institute"
"Nachlass Otto Lehmann-Brockhaus","Getty Research Institute"
"Fototeca Zeri","Getty Research Institute"
"Nachlass Ulrich Middeldorf","Getty Research Institute"
"Fototeca Julian Kliemann","Getty Research Institute"
"Ellis K. Waterhouse notebooks and research files","Getty Research Institute"
"Archivio Luisa Vertova","Getty Research Institute"
"John Pope-Hennessy papers","Getty Research Institute"
"Nachlass Kurt Badt","Getty Research Institute"
"Nachlass Werner Cohn","Getty Research Institute"
"Fondo Aby Warburg","Getty Research Institute"
"Nachlass Cornelius von Fabriczy","Getty Research Institute"
"Leo Steinberg research papers","Getty Research Institute"
"Ernst Kitzinger papers, 1931-1995","Getty Research Institute"
"Fototeca Fahy","Getty Research Institute"
"Battisti Eugenio (complex of fonds)","Getty Research Institute"
"Nachlass Wolfgang Lotz","Getty Research Institute"
"Nachlass Ernst Steinmann","Getty Research Institute"
"Ulrich Middledorf papers","Getty Research Institute"
"Fototeca Stefano Tumidei","Getty Research Institute"
"Nachlass Richard Krautheimer","Getty Research Institute"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","Getty Research Institute"
"Venturi Adolfo (complex of fonds)","Getty Research Institute"
"Julius S. Held papers","Getty Research Institute"
"Gustav Ludwig-Vermächtnis","Getty Research Institute"
"Luigi Salerno research papers","Getty Research Institute"
"Nachlass Otto Lehmann-Brockhaus","Getty Research Institute"
"Fototeca Zeri","Getty Research Institute"
"Nachlass Ulrich Middeldorf","Getty Research Institute"
"Fototeca Julian Kliemann","Getty Research Institute"
"Ellis K. Waterhouse notebooks and research files","Getty Research Institute"
"Archivio Luisa Vertova","Getty Research Institute"
"John Pope-Hennessy papers","Getty Research Institute"
"Nachlass Kurt Badt","Getty Research Institute"
"Nachlass Werner Cohn","Getty Research Institute"
"Fondo Aby Warburg","Getty Research Institute"
"Nachlass Cornelius von Fabriczy","Getty Research Institute"
"Leo Steinberg research papers","Getty Research Institute"
"Ernst Kitzinger papers, 1931-1995","Getty Research Institute"
"Fototeca Fahy","Getty Research Institute"
"Battisti Eugenio (complex of fonds)","Getty Research Institute"
"Nachlass Wolfgang Lotz","Getty Research Institute"
"Nachlass Ernst Steinmann","Getty Research Institute"
"Ulrich Middledorf papers","Getty Research Institute"
"Fototeca Stefano Tumidei","Getty Research Institute"
"Nachlass Richard Krautheimer","Getty Research Institute"
"Nachlass Fritz Heinemann, Notizen zur venezianischen Malerei","Getty Research Institute"
"Venturi Adolfo (complex of fonds)","Getty Research Institute"
"Julius S. Held papers","Getty Research Institute"
"Gustav Ludwig-Vermächtnis","Getty Research Institute"
"Luigi Salerno research papers","Getty Research Institute"
"Nachlass Otto Lehmann-Brockhaus","Getty Research Institute"
"Fototeca Zeri","Getty Research Institute"
