Country,Historian
Germany,Ernst Kitzinger
Germany,Ulrich Middeldorf
Italy,Luisa Vertova
Germany,Otto Lehmann-Brockhaus
Germany,Ernst Steinmann
Italy,Eugenio Battisti
Italy,Federico Zeri
Germany,Richard Krautheimer
Germany,Wolfgang Lotz
United States of America,Julius S. Held
Germany,Aby Warburg
Germany,Werner Cohn
Italy,Luigi Salerno
Germany,Gustav Ludwig
England,Ellis Waterhouse
Italy,Adolfo Venturi
Germany,Julian Kliemann
Italy,Stefano Tumidei
England,John Pope-Hennessy
United States of America,Everett Fahy
Germany,Kurt Badt
Germany,Fritz Heinemann
Russia,Leo Steinberg
Hungary,Kornél Fabriczy
